page,catalogueSectionText
1,"TEXMO | 3” Borewell Submersible Pumpsets, / Single Phase 220 Volts, 3 Phase 380 Volts, 50 Hz"
2,"TEXMO | 3” Borewell Submersible Pumpsets, / Single Phase 220 Volts, 3 Phase 380 Volts, 50 Hz"
3,"TEXMO | 4” Borewell Submersible Pumpsets / Single Phase 220 Volts, 3 Phase 380 Volts, 50 Hz"
4,"TEXMO | 4” Borewell Submersible Pumpsets / Single Phase 220 Volts, 3 Phase 380 Volts, 50 Hz"
5,"TEXMO | 4” Borewell Submersible Pumpsets / Single Phase 220 Volts, 3 Phase 380 Volts, 50 Hz"
6,"TEXMO | 4” Borewell Submersible Pumpsets / Single Phase 220 Volts, 3 Phase 380 Volts, 50 Hz"
7,"TEXMO | 4” Borewell Submersible Pumpsets / Single Phase 220 Volts, 3 Phase 380 Volts, 50 Hz"
8,"TEXMO | 4” Borewell Submersible Pumpsets / Single Phase 220 Volts, 3 Phase 380 Volts, 50 Hz"
9,"TEXMO | 4” Borewell Submersible Pumpsets / Single Phase 220 Volts, 50 Hz"
10,"TEXMO | 4” Stainless steel Borewell Radial Flow Submersible Pumpsets / Single Phase 220 Volts, 3 Phase 380 Volts, 50 Hz"
11,"TEXMO | 4” Stainless steel Borewell Radial Flow Submersible Pumpsets / Single Phase 220 Volts, 3 Phase 380 Volts, 50 Hz"
12,"TEXMO | 6” Stainless steel Borewell Radial Flow Submersible Pumpsets / 3 Phase 415 Volts, 50 Hz"
13,"TEXMO | 6” Borewell Radial Flow Submersible Pumpsets / 3 Phase 415 Volts, 50 Hz"
14,"TEXMO | 6” Borewell Radial Flow Submersible Pumpsets / 3 Phase 415 Volts, 50 Hz"
15,"TEXMO | 6” Borewell Radial Flow Submersible Pumpsets / 3 Phase 415 Volts, 50 Hz"
16,"TEXMO | 6” Mixed Flow Flow Submersible Pumpsets / 3 Phase 415 Volts, 50Hz"
17,"TEXMO | 6” Borewell Mixed Flow Submersible Pumpsets / 3 Phase 415 Volts, 50Hz"
18,"TEXMO | 6” Borewell Mixed Flow Submersible Pumpsets / 3 Phase 415 Volts, 50Hz"
19,"TEXMO | 6” Borewell Radial Flow / Submersible Pumpsets, 50 Hz *"
20,"TEXMO | 6” Borewell Mixed Flow / Submersible Pumpsets, 50 Hz *"
21,"TEXMO | 7” Borewell Mixed Flow Submersible Pumpsets, / 3 Phase 415 Volts, 50 Hz"
22,"TEXMO | 7” Borewell Mixed Flow Submersible Pumpsets, / 3 Phase 415 Volts, 50 Hz"
23,"TEXMO | 8” Borewell Radial Flow Submersible Pumpsets, / 3 Phase 415 Volts, 50 Hz"
24,"TEXMO | 8” Borewell Mixed Flow Submersible Pumpsets, / 3 Phase 415 Volts, 50 Hz"
25,"TEXMO | 8” Borewell Mixed Flow Submersible Pumpsets, / 3 Phase 415 Volts, 50 Hz"
26,"TEXMO | 10” Borewell Mixed Flow Submersible Pumpsets, / **3 Phase 415 Volts, 50 Hz"
27,"AQUATEX | Horizontal Openwell Submersible Pumpset , / 3 Phase, 380 Volts, 50 Hz"
28,"AQUATEX | Vertical Openwell Submersible Pumpsets, / 3 Phase, 380 Volts, 50 Hz"
29,"AQUATEX | Vertical Openwell Submersible Pumpsets, / 3 Phase, 380 Volts, 50 Hz"
30,"AQUATEX | High Pressure Vertical Multistage Pumpsets, / 3 Phase 380 Volts, 50 Hz, Offline Construction *"
31,"AQUATEX | Vertical Multistage Inline-Pumpsets / Single Phase 220 Volts, 3 Phase 380 Volts, 50Hz"
32,"AQUATEX | Submersible Dewatering Pumpset, 1 Phase, / 220V, 50Hz & 3 Phase, 380 V, 50 Hz *"
33,"TEXMO | Single Phase Self-Priming Regenerative Pumps, / 220/240 Volts, 2800 RPM, 50 Hz, AC Power Supply"
34,"TEXMO | Single Phase, Centrifugal Monoblock Pumps, / 240 Volts, 2900 RPM, 50 Hz, AC Power Supply"
35,"TEXMO | Single Phase Jet Pumps, 240 Volts, / 2850 RPM, 50 Hz, AC Power Supply"
36,"AQUATEX | Single Phase Centrifugal Monoblock Pumps, / 240 Volts, 2900 RPM, 50 Hz, AC Power Supply"
37,"TEXMO | Single Phase Openwell Submersible Monoblocks, Water Cooled, / 240 Volts, 2900 RPM, 50 Hz, AC Power Supply"
38,"AQUATEX | Three Phase, 415V, B14 Flange Mounting Motor, 2 Pole, Class / ""F"" Insulation with IE Standard (IS 12615)"
39,"AQUATEX | Three Phase, Agricultural Monoblocks, 2900 RPM, / 380 Volts, 50 Hz, AC Power Supply"
40,"AQUATEX | Three Phase Agricultural Monoblocks, 2900 RPM, / Class “B” Insulation, 380 Volts, 50 Hz, AC Power Supply"
41,"AQUATEX | Three Phase Agricultural Monoblocks, 1440 RPM, / 380 Volts, 50 Hz, AC Power Supply"
42,"AQUATEX | Three Phase Openwell Submersible Monoblocks, / Water Cooled 380 Volts 50 Hz, AC Power Supply"
43,"AQUATEX | Three Phase Openwell Submersible Monoblocks, / Water Cooled 380 Volts 50 Hz, AC Power Supply"
