Model,Page,Phase,kW,HP,Outlet,Start method,RPM,Curve points,Status
LSD-233,40,S,1.5,2.0,50 mm (2 in),,2850 rpm,10,SOURCE_CONFIRMED
LSD-233,40,S,2.2,3.0,50 mm (2 in),,2850 rpm,10,SOURCE_CONFIRMED
LSD-240,41,S,1.5,2.0,50 mm (2 in),,2850 rpm,10,SOURCE_CONFIRMED
LGP-1215 / 1215F,77,S,1.5,2.0,32 mm (1.25 in),Capacitor,,5,SOURCE_CONFIRMED
LGP-1235 / 1235F,77,T,1.5,2.0,32 mm (1.25 in),Direct,,5,SOURCE_CONFIRMED
LGP-1315 / 1315F,77,S,2.2,3.0,32 mm (1.25 in),Capacitor,,6,SOURCE_CONFIRMED
LGP-1335 / 1335F,77,T,2.2,3.0,32 mm (1.25 in),Direct,,6,SOURCE_CONFIRMED
LGP-2335,77,T,2.2,3.0,50 mm (2 in),Direct,,10,SOURCE_CONFIRMED
LGP-2535,77,T,3.7,5.0,50 mm (2 in),Direct,,10,SOURCE_CONFIRMED
LHP-103035,77,T,22.0,30.0,200 mm (8 in),Y-Δ,1450 rpm,10,SOURCE_CONFIRMED
LHP-104035,77,T,30.0,40.0,250 mm (10 in),Y-Δ,1450 rpm,12,SOURCE_CONFIRMED
LHP-105035,77,T,37.0,50.0,250 mm (10 in),Y-Δ,1450 rpm,13,SOURCE_CONFIRMED
LHP-106035,77,T,45.0,60.0,250 mm (10 in),Y-Δ,1450 rpm,13,SOURCE_CONFIRMED
LHP-143035,77,T,22.0,30.0,350 mm (14 in),Y-Δ,960 rpm,3,SOURCE_CONFIRMED
LHP-144035,77,T,30.0,40.0,350 mm (14 in),Y-Δ,960 rpm,4,SOURCE_CONFIRMED
LHP-145035,77,T,37.0,50.0,350 mm (14 in),Y-Δ,960 rpm,4,SOURCE_CONFIRMED
LHP-146035,77,T,45.0,60.0,350 mm (14 in),Y-Δ,960 rpm,4,SOURCE_CONFIRMED
LHP-165035,77,T,37.0,50.0,400 mm (16 in),Y-Δ,960 rpm,6,SOURCE_CONFIRMED
LHP-166035,77,T,45.0,60.0,400 mm (16 in),Y-Δ,960 rpm,6,SOURCE_CONFIRMED
LHP-2060358,77,T,45.0,60.0,500 mm (20 in),Y-Δ,750 rpm,6,SOURCE_CONFIRMED
LHP-2075358,77,T,55.0,75.0,500 mm (20 in),Y-Δ,750 rpm,8,SOURCE_CONFIRMED
LHP-3535,77,T,3.7,5.0,80 mm (3 in),Direct,1450 rpm,6,SOURCE_CONFIRMED
LHP-3535U,77,T,3.7,5.0,80 mm (3 in),Direct,1450 rpm,6,SOURCE_CONFIRMED
LHP-3535U2,77,T,3.7,5.0,80 mm (3 in),Direct,2900 rpm,9,SOURCE_CONFIRMED
LHP-41035,77,T,7.5,10.0,100 mm (4 in),Direct,1450 rpm,8,SOURCE_CONFIRMED
LHP-4535,77,T,3.7,5.0,100 mm (4 in),Direct,1450 rpm,7,SOURCE_CONFIRMED
LHP-4735,77,T,5.5,7.5,100 mm (4 in),Direct,1450 rpm,7,SOURCE_CONFIRMED
LHP-4735U,77,T,5.5,7.5,100 mm (4 in),Direct,1450 rpm,8,SOURCE_CONFIRMED
LHP-61035,77,T,7.5,10.0,150 mm (6 in),Direct,1450 rpm,13,SOURCE_CONFIRMED
LHP-61535,77,T,11.0,15.0,150 mm (6 in),Y-Δ,1450 rpm,5,SOURCE_CONFIRMED
LHP-62035,77,T,15.0,20.0,150 mm (6 in),Y-Δ,1450 rpm,6,SOURCE_CONFIRMED
LHP-63035,77,T,22.0,30.0,150 mm (6 in),Y-Δ,1450 rpm,7,SOURCE_CONFIRMED
LHP-64035,77,T,30.0,40.0,150 mm (6 in),Y-Δ,1450 rpm,7,SOURCE_CONFIRMED
LHP-65035,77,T,37.0,50.0,150 mm (6 in),Y-Δ,1450 rpm,7,SOURCE_CONFIRMED
LHP-81535,77,T,11.0,15.0,200 mm (8 in),Y-Δ,1450 rpm,10,SOURCE_CONFIRMED
LHP-82035,77,T,15.0,20.0,200 mm (8 in),Y-Δ,1450 rpm,13,SOURCE_CONFIRMED
LHP-83035,77,T,22.0,30.0,200 mm (8 in),Y-Δ,1450 rpm,13,SOURCE_CONFIRMED
LHP-86035,77,T,45.0,60.0,200 mm (8 in),Y-Δ,1450 rpm,12,SOURCE_CONFIRMED
LHP-87535,77,T,55.0,75.0,200 mm (8 in),Y-Δ,1450 rpm,13,SOURCE_CONFIRMED
